# z-spec OII_3727 err_OII_3727 NeIII_3870_HeI_3889 err_NeIII_3870_HeI_3889 Hdelta err_Hdelta Hgamma err_Hgamma Hbeta err_Hbeta OIII_5008 err_OIII_5008 Halpha err_Halpha SII_6725 err_SII_6725
6.33 1.0 0.2 1.3 0.2 0.7 0.2 1.2999999999999998 0.2 2.2 0.2 8.8 0.2 6.9 0.2 0.3 0.2
6.3337 1.0 0.9 1.7999999999999998 1.0 1.1 0.8 2.3 0.9 4.4 0.8 22.4 0.8 14.6 0.7 1.1 0.6
6.3351 2.5 0.3 1.1 0.4 1.5 0.3 1.3 0.3 1.7 0.3 10.3 0.3 5.9 0.3 0.5 0.3
6.3396 0.3 0.1 0.6 0.2 0.2 0.1 0.2 0.1 0.4 0.1 1.9 0.1 1.3 0.1 0.3 0.1
6.341 2.0 0.6 4.0 0.7 2.3 0.6 4.199999999999999 0.55 7.1 0.5 35.9 0.5 19.1 0.5 0.6 0.4
6.352 1.6 1.4 0.8 1.5 -0.2 1.3 2.6 1.4 4.9 1.2 21.0 1.2 13.3 1.1 -0.9 1.0
6.3785 0.1 0.6 1.6 0.7 0.4 0.6 2.2 0.6 2.1 0.6 7.0 0.6 6.0 0.5 0.2 0.5
6.5357 1.7 0.5 1.5 0.6 0.3 0.5 1.3 0.5 1.3 0.4 12.9 0.5 5.8 0.4 -0.4 0.4
6.5361 1.6 0.5 1.2 0.5 1.0 0.4 2.0999999999999996 0.4 2.6 0.4 9.1 0.4 7.9 0.4 0.5 0.3
6.6261 0.4 0.2 0.7 0.2 0.6 0.2 0.0 0.2 0.6 0.2 3.1 0.2 2.6 0.2 0.1 0.2
6.6284 1.8 1.1 5.5 1.2 1.3 1.1 3.5999999999999996 1.1 5.6 1.0 27.8 1.1 14.8 0.9 -1.5 0.8
6.6322 0.7 0.2 1.8 0.2 0.9 0.2 2.1 0.2 3.2 0.2 11.8 0.2 10.0 0.2 0.5 0.2
6.6345 11.0 1.7 11.8 1.8 3.1 1.6 6.6 1.65 11.9 1.5 101.1 1.6 41.9 1.3 2.2 1.3
6.7074 0.9 0.4 1.1 0.4 1.0 0.4 1.6 0.4 1.4 0.3 8.6 0.4 3.7 0.3 0.6 0.3
6.7186 0.7 0.3 1.9 0.3 0.6 0.2 1.3 0.25 2.7 0.2 17.4 0.3 8.3 0.2 -0.3 0.2
6.7274 0.9 0.3 0.5 0.3 0.2 0.3 0.6 0.3 0.9 0.3 3.6 0.3 3.0 0.3 0.1 0.2
6.737 6.2 1.3 8.3 1.45 0.2 1.3 6.0 1.3 8.5 1.2 67.4 1.3 34.0 1.1 0.6 1.0
6.7654 1.6 0.4 1.1 0.45 1.2 0.4 0.7 0.4 1.2 0.4 10.1 0.4 6.6 0.3 1.0 0.3
6.7701 1.2 0.9 2.6 1.1 1.5 0.9 4.8 0.9 7.6 0.8 22.8 0.8 33.7 0.8 0.0 0.0
6.8458 7.8 1.2 7.8999999999999995 1.4 3.5 1.2 6.5 1.2 10.2 1.1 74.2 1.2 33.0 1.0 0.2 0.9
6.8702 0.7 0.1 0.5 0.1 0.0 0.1 0.2 0.1 0.7 0.1 3.6 0.1 2.2 0.1 0.0 0.0
6.8717 1.2 0.6 3.5 0.6 1.9 0.6 5.3 0.6 8.0 0.5 24.2 0.5 34.7 0.5 0.0 0.0
6.8733 0.3 0.4 1.5999999999999999 0.45 0.4 0.4 1.3 0.35 2.4 0.3 8.4 0.3 10.4 0.3 0.0 0.0
6.9326 3.1 0.4 4.1000000000000005 0.45 1.0 0.4 2.9000000000000004 0.4 5.2 0.4 28.8 0.4 13.6 0.3 0.0 0.0
6.9336 10.6 1.4 9.899999999999999 1.5 2.6 1.3 10.7 1.3 11.8 1.2 115.9 1.4 43.2 1.1 0.0 0.0
6.9352 7.4 1.2 7.199999999999999 1.25 0.3 1.1 4.1 1.1 8.8 1.0 64.4 1.1 31.1 0.9 0.0 0.0
6.9806 4.2 0.5 4.5 0.5 1.1 0.5 3.1 0.5 3.3 0.4 30.5 0.5 12.7 0.4 0.0 0.0
6.9915 2.3 1.5 2.4 1.9 -0.6 1.4 2.3 1.6 0.9 1.3 11.5 1.3 5.2 1.2 0.0 0.0
6.9925 2.9 1.0 3.8 1.1 -0.2 1.0 1.7 1.0 1.8 0.9 12.4 1.0 4.5 0.8 0.0 0.0
7.035 -2.5 1.4 0.30000000000000004 1.6 1.1 1.3 3.4000000000000004 1.25 6.2 1.2 1.8 1.1 38.7 1.3 0.0 0.0
7.1028 1.5 1.0 3.8 1.1 -0.3 1.0 1.9 1.0 3.6 0.9 26.3 1.0 0.0 0.0 0.0 0.0
7.1135 -0.6 1.4 3.7 1.35 0.2 1.3 1.5 1.3 3.4 1.2 23.5 1.3 0.0 0.0 0.0 0.0
7.1785 2.7 1.1 3.0 1.2 1.6 1.0 1.7000000000000002 1.1 4.5 0.9 20.7 1.0 0.0 0.0 0.0 0.0
7.1791 7.3 2.2 8.5 2.3 3.6 2.0 3.4 2.05 11.7 1.9 59.0 2.1 0.0 0.0 0.0 0.0
7.2053 1.2 0.2 1.2999999999999998 0.2 0.6 0.2 1.5 0.2 2.7 0.2 11.3 0.2 0.0 0.0 0.0 0.0
7.2621 0.2 0.1 0.0 0.1 0.3 0.1 0.0 0.1 0.1 0.1 1.2 0.1 0.0 0.0 0.0 0.0
7.2697 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
7.2753 0.8 0.2 0.8 0.2 0.1 0.2 0.2 0.2 0.9 0.1 4.6 0.2 0.0 0.0 0.0 0.0
7.4546 2.5 1.4 1.7 1.45 -4.2 1.3 2.1 1.3 3.5 1.2 21.1 1.3 0.0 0.0 0.0 0.0
7.4721 2.2 0.7 4.0 0.8 2.7 0.7 4.3 0.7 7.6 0.6 35.1 0.7 0.0 0.0 0.0 0.0
7.4757 4.6 1.0 3.0999999999999996 1.0 2.4 0.9 3.2 0.9 5.5 0.8 38.6 1.0 0.0 0.0 0.0 0.0
7.4808 0.6 0.6 1.9000000000000001 0.6499999999999999 0.5 0.6 3.4 0.6 5.9 0.6 11.7 0.6 0.0 0.0 0.0 0.0
7.4842 -0.2 1.0 1.7999999999999998 1.0 -0.3 0.9 5.8 0.9 2.6 0.9 16.1 1.0 0.0 0.0 0.0 0.0
7.5089 1.0 0.9 0.7999999999999999 0.9 0.1 0.8 -0.19999999999999998 0.8 0.4 0.8 6.5 0.9 0.0 0.0 0.0 0.0
7.5524 1.2 0.4 1.1 0.35 0.7 0.3 0.7 0.3 2.1 0.3 9.0 1.0 0.0 0.0 0.0 0.0
7.589 1.1 0.4 0.5 0.4 0.1 0.4 0.5 0.4 1.2 0.3 4.2 0.4 0.0 0.0 0.0 0.0
7.6487 2.8 0.9 2.7 0.9 0.5 0.9 0.7000000000000001 0.9 0.9 0.8 11.2 0.9 0.0 0.0 0.0 0.0
7.6631 6.1 0.6 6.7 0.6 2.7 0.6 6.1 0.6 9.9 0.5 64.5 0.6 0.0 0.0 0.0 0.0
7.7785 3.2 1.2 2.3 1.2 1.2 1.1 0.20000000000000007 1.1 3.2 1.0 18.3 1.2 0.0 0.0 0.0 0.0
7.8314 2.9 1.0 5.2 1.0 0.1 0.9 4.7 0.9 6.7 0.8 44.1 1.0 0.0 0.0 0.0 0.0
