# z-spec M_UV O3Hb_EW err_O3Hb_EW Beta_UV err_Beta_UV DLya err_DLya SFR err_SFR Xi_ion err_Xi_ion O_32 err_O_32 logOH err_logOH
5.9322 -19.517822290009487 1617.3 46.5 -1.85 0.08 50.3 9.9 2.2697513704110976 0.40531274471626744 1.9984293039710326e+25 2.9068062603215024e+24 10.517857142857144 1.8850522958488907 7.951387820846977 0.1518949870039158
5.9322 -17.927822290009487 850.0 67.6 -1.98 0.05 56.5 6.7 0.2837189213013872 0.12159382341488023 3.1517618440564606e+25 3.151761844056461e+24 15.142857142857144 6.49608218198621 7.501102773007852 0.1518949870039158
5.9412 -18.866413604724897 769.5 69.2 -2.16 0.03 8.5 0.5 0.5694404691547087 0.08134863845067268 1.328704783903937e+25 1.3287047839039371e+24 9.071428571428571 1.3037686060388407 7.737769756430552 0.1518949870039158
5.944 -19.64597571957891 2266.4 71.1 -1.89 0.01 31.3 1.0 1.0179719627052837 0.36646990657390216 4.140223188265005e+25 2.587639492665628e+24 29.360000000000003 10.57444297161794 7.513415418644837 0.1518949870039158
5.9482 -19.495319222811098 167.3 73.7 -2.0 0.02 57.0 2.2 1.468287636859632 0.16314307076218135 5.233410836225149e+24 1.495260238921471e+24 2.944444444444444 0.3455136288680624 8.044482551645132 0.1518949870039158
5.9802 -18.47033033396788 981.6 64.3 -2.56 0.05 6.5 0.5 0.28908166439993194 0.12389214188568512 2.5126391924452154e+25 2.8991990682060175e+24 17.0 7.298308442539887 7.383653877628265 0.1518949870039158
5.9865 -19.699350841524584 490.5 56.0 -2.03 0.1 63.6 16.7 2.7323021394823077 0.455383689913718 1.1881747481967192e+25 2.814098087834335e+24 2.484848484848485 0.44098747379682984 7.538945496341897 0.1518949870039158
5.9928 -17.218372231929962 830.6 64.0 -1.7 0.09 -65.5 11.0 0.08299957956618598 0.08299957956618598 7.059061360392647e+25 6.138314226428389e+24 30.499999999999996 30.516389039334253 7.05352615344264 0.1518949870039158
6.0019 -19.44696024012509 534.4 63.3 -1.82 0.07 50.4 9.9 1.874084051502721 0.37481681030054426 1.8997571589725648e+25 3.1662619316209416e+24 6.622222222222223 1.339459998066293 7.7321539597491356 0.1518949870039158
6.0084 -21.125952797623892 1649.3 66.0 -1.92 0.03 52.5 2.8 14.654651832303328 1.503041213569572 3.2669334248950485e+25 2.6034687961888567e+24 7.777777777777778 0.8029135021679105 7.97572772868229 0.1518949870039158
6.0541 -18.928895969999804 563.4 51.0 -2.61 0.1 49.0 8.8 1.019814876801051 0.3399382922670171 2.342574664324087e+25 4.55500629174128e+24 7.875 2.641153998623414 nan nan
6.0616 -20.817742216051798 837.0 59.2 -2.22 0.06 61.6 8.2 9.503056315579942 1.4915110809206187 1.7641448732476547e+25 3.4144739482212676e+24 6.923766816143498 1.0955453390083505 7.980380487189737 0.1518949870039158
6.0619 -19.277696091385604 845.7 53.8 -2.03 0.12 36.6 7.3 2.2588334447782707 0.5114339874969669 2.8741695486467764e+25 4.711753358437339e+24 8.283018867924529 1.8868499826663967 7.93676535904951 0.1518949870039158
6.0694 -18.476543611104205 489.2 61.3 -2.37 0.04 29.8 2.1 0.25645209299286703 0.042742015498811174 7.883931583893822e+24 9.854914479867278e+23 4.833333333333333 0.8226162719422693 7.376061458817667 0.1518949870039158
6.0873 -18.94379795873857 1532.6 39.2 -1.96 0.17 58.5 16.4 1.9796192954608278 0.5164224249028248 4.3126184878457014e+25 6.436744011710002e+24 10.195652173913045 2.6704635356751436 7.913856515833307 0.1518949870039158
6.1013 -20.42165534962991 167.6 64.6 -2.1 0.05 32.2 3.1 0.9518360923995858 0.5191833231270467 -4.997065293441938e+23 1.6656884311473127e+24 8.318181818181818 4.55990190862662 7.836860177650536 0.2614805033543398
6.1056 -18.910998110425997 400.3 69.9 -1.85 0.05 55.9 5.7 2.1668038977424775 0.13000823386454866 2.0160076882464964e+25 2.0160076882464964e+24 3.06 0.19315527432612342 7.66568743858772 0.1518949870039158
6.1072 -20.94075365782905 945.2 65.3 -2.34 0.03 47.7 2.6 5.246855087957162 0.6937990198951619 1.6424911615489737e+25 1.4553719152965588e+24 9.96694214876033 1.3237601484162782 7.950949593546859 0.1518949870039158
6.1086 -19.57053980694601 1758.3 43.4 -1.96 0.09 43.7 9.4 3.3840699087492774 0.6507826747594765 3.4162573155296904e+25 5.142752948109211e+24 8.294871794871796 1.606717800129029 7.941037326980126 0.1518949870039158
6.134 -19.26666723749416 3046.1 53.6 -1.67 0.08 84.4 16.8 4.5119448891664256 0.7008846429773088 1.0238952316601998e+26 6.858628346049185e+24 11.902912621359222 1.8539853258273922 7.641042544195839 0.1518949870039158
6.14 -20.595754470559566 1077.4 62.5 -1.55 0.06 83.6 14.7 8.956573981227347 1.3171432325334336 3.1021251735068127e+25 3.734039560702645e+24 8.259803921568627 1.2224071487537254 7.961990218573632 0.1518949870039158
6.1894 -19.718268381679167 866.9 59.4 -1.79 0.09 46.2 9.3 6.4856427906361835 0.6709285645485706 3.1734268001262123e+25 4.253046226973275e+24 4.986206896551724 0.5247731324972145 8.009096877362534 0.1518949870039158
