# File;RA;Decl;z_spec;SN_UV;M_UV;O3Hb_EW;Beta_UV;err_Beta_UV;DLya;err_DLya;SFR;err_SFR;Xi_ion;err_Xi_ion;O_32;err_O_32;OII_3727;err_OII_3727;NeIII_3870;err_NeIII_3870;HeI_3889;err_HeI_3889;Hdelta;err_Hdelta;Hgamma;err_Hgamma;Hbeta;err_Hbeta;OIII_4960;err_OIII_4960;OIII_5008;err_OIII_5008;Halpha;err_Halpha;SII_6725;err_SII_6725
jades-gdn2-v2_prism-clear_1181_896.spec.fits;189.0826519;62.2524772;6.7654;79.17741514996855;-20.933720885025483;1175.4835758621577;-1.6929672755694571;0.04442393637424062;61.065466427065154;2.267307199436345;36.48624584998799;1.3228383301018372;4.649049807367619e+25;1.6855505795317317e+24;3.5603139449185717;0.13252868912894972;725.75024;24.569613;183.62689;19.749352;77.90654;18.624895;109.826904;14.507831;167.01775;15.435152;422.0569;15.302014;877.13916;21.1225;2583.8987;39.989346;2187.755;43.278297;178.02306;31.240005
jades-gdn2-v2_prism-clear_1181_896.spec.fits;189.0826519;62.2524772;6.7654;79.17741514996855;-20.933720885025483;1175.4835758621577;-1.6929672755694571;0.04442393637424062;61.065466427065154;2.267307199436345;36.48624584998799;1.3228383301018372;4.649049807367619e+25;1.6855505795317317e+24;3.5603139449185717;0.13252868912894972;725.75024;24.569613;183.62689;19.749352;77.90654;18.624895;109.826904;14.507831;167.01775;15.435152;422.0569;15.302014;877.13916;21.1225;2583.8987;39.989346;2187.755;43.278297;178.02306;31.240005
jades-gdn2-v2_prism-clear_1181_896.spec.fits;189.0826519;62.2524772;6.7654;79.17741514996855;-20.933720885025483;1175.4835758621577;-1.6929672755694571;0.04442393637424062;61.065466427065154;2.267307199436345;36.48624584998799;1.3228383301018372;4.649049807367619e+25;1.6855505795317317e+24;3.5603139449185717;0.13252868912894972;725.75024;24.569613;183.62689;19.749352;77.90654;18.624895;109.826904;14.507831;167.01775;15.435152;422.0569;15.302014;877.13916;21.1225;2583.8987;39.989346;2187.755;43.278297;178.02306;31.240005
uncover-v2_prism-clear_2561_41225.spec.fits;3.533996360109116;-30.35330846833722;6.769281;21.14937240920333;-18.915490884331255;522.4018245703817;-2.220712518827083;0.1792196880874734;65.92946527844482;8.266689995874252;8.51485662907761;0.7429049074883517;6.961524548779082e+25;6.073796631205115e+24;17.32717860206153;8.717655202033715;21.833393;10.96663;55.476593;11.952783;7.354919;11.772722;33.966652;9.904393;50.68015;9.407311;98.36575;8.582223;129.56068;9.442279;378.3111;10.949973;773.0578;22.8984;-10.436479;19.258314
uncover-v2_prism-clear_2561_33673.spec.fits;3.600113527958513;-30.36581355252957;6.773944;11.971017486782246;-17.808953147618197;1430.5783525067843;-1.856337334196676;0.30097424483042057;101.66361365303698;14.89273067886154;2.2221366757702397;0.3643400886763927;5.033996174273824e+25;8.253707490318136e+24;9.510359358446594;3.466502745385919;16.440159;5.968316;7.624114;6.6373763;5.7475553;6.391194;-5.103068;5.003769;16.190176;4.8871493;25.629883;4.202259;42.523384;4.365156;156.35182;5.104107;101.28271;9.589399;15.838589;10.389461
jades-gds-wide-v2_prism-clear_1180_13178.spec.fits;53.1181749;-27.79301759999999;6.791065;21.287307601457744;-19.483354111825697;3278.3989865313665;-2.2681041394379955;0.18345357767583031;60.8783957217059;7.6260476435798505;7.310220796485653;1.006576096509182;3.5425192806431718e+25;4.877848875689999e+24;15.735311191954795;9.31678600765524;26.87216;15.870063;48.179268;18.316774;2.9624698;16.258686;22.452726;12.899668;64.229256;12.27744;83.82519;11.542255;149.36838;13.719063;422.8418;17.914942;326.83066;28.281635;1.5792503;27.214273
jades-gds-wide-v2_prism-clear_1180_15362.spec.fits;53.1163386;-27.76194049999998;6.798081;20.77619203185017;-19.47893382892497;1165.618413042901;-2.330625346384406;0.1854485898125191;61.79005932619486;7.413486870597578;3.387035202953637;0.8782170430613168;1.6480468435171593e+25;4.2731850689890444e+24;14.995374181768534;16.02915552895875;13.169562;14.053222;-7.1985664;14.238494;1.7225748;14.237355;-1.816132;11.704181;47.424725;11.230918;38.746117;10.046397;89.0187;11.048422;197.48251;12.385166;168.40074;23.327799;-23.78067;23.323
rubies-uds2-v2_prism-clear_4233_61652.spec.fits;34.248272;-5.205518200000028;6.80042;8.007712265221908;-19.129337195338575;2501.6772686598924;-2.75050703823437;0.44260072857484656;90.99306218054798;19.23394713112891;5.424699205076127;1.7743288158857429;3.6422030746724383e+25;1.1913040012710288e+25;-19.500609718177714;-32.981017875034674;-15.7183275;26.556135;43.596745;23.322199;28.203203;24.942078;37.102264;26.973276;45.114147;23.844402;62.006775;20.281384;54.40472;23.428703;306.51697;23.778225;248.73363;55.49851;-12.775551;58.14782
jades-gdn2-v2_prism-clear_1181_38681.spec.fits;189.1356251;62.2638775;6.80901;15.15398287000219;-19.148273673312918;840.8727866912708;-2.635864411863603;0.26940876742206626;61.73604245790642;9.211778250222853;4.996558830804188;0.8841942943073755;3.2967416039382737e+25;5.833935343734978e+24;12.19057351180725;9.871484890499081;18.797817;15.183758;41.89829;15.742409;-25.418217;15.47873;-1.4289038;12.617869;-3.9611015;11.086966;56.9467;10.077325;75.73791;11.412533;229.15617;13.109402;165.92896;24.584637;8.551315;27.359169
jades-gdn2-v2_prism-clear_1181_38681.spec.fits;189.1356251;62.2638775;6.80901;15.15398287000219;-19.148273673312918;840.8727866912708;-2.635864411863603;0.26940876742206626;61.73604245790642;9.211778250222853;4.996558830804188;0.8841942943073755;3.2967416039382737e+25;5.833935343734978e+24;12.19057351180725;9.871484890499081;18.797817;15.183758;41.89829;15.742409;-25.418217;15.47873;-1.4289038;12.617869;-3.9611015;11.086966;56.9467;10.077325;75.73791;11.412533;229.15617;13.109402;165.92896;24.584637;8.551315;27.359169
rubies-uds1-v2_prism-clear_4233_39024.spec.fits;34.2803952;-5.248406199999976;6.80901;24.949444523142244;-20.40626902428961;807.7912693158288;-2.1173458177672355;0.14430269091584344;69.73713634984054;6.1539113037556765;11.535154721952942;1.8039061342268676;2.389126729887071e+25;3.7361964077400833e+24;5.560443630055071;1.0711972963053042;155.96689;29.437439;11.344608;29.974249;42.117107;27.618692;38.54998;23.965193;83.56109;25.047018;131.46828;20.55945;276.55136;27.611053;867.2451;33.465977;669.25995;47.4438;-14.319662;64.53978
