# File;RA;Decl;SN_UV;z_spec
gds-udeep-v2_prism-clear_3215_201127.spec.fits;53.1668527;-27.80412530000001;64.06589654929712;5.83378
macs0416-v2_prism-clear_1208_3118239.spec.fits;64.04398687612012;-24.05630527422585;7.044037300779737;5.837879
uncover-v2_prism-clear_2561_35738.spec.fits;3.613165668447987;-30.36217977922291;21.403548653994754;5.843352
macs1149-v2_prism-clear_1208_5104188.spec.fits;177.383495264081;22.36924995996953;4.109182218763034;5.85362
macs0416-v2_prism-clear_1208_3107042.spec.fits;64.03457921959621;-24.09409174306506;4.743168668692741;5.859795
jades-gds-wide2-v2_prism-clear_1180_5909.spec.fits;53.18395;-27.80759699999999;20.226997051156935;5.86185
jades-gds-wide-v2_prism-clear_1180_9696.spec.fits;53.17752;-27.80252000000002;28.569657198196314;5.86254
macs1423-v2_prism-clear_1208_4104970.spec.fits;215.95725122575246;24.067991472494587;9.842621847924239;5.869406
macs0416-v2_prism-clear_1208_3117162.spec.fits;64.07476860419547;-24.08353584584251;25.016620835756243;5.873529
jades-gdn2-v2_prism-clear_1181_978.spec.fits;189.1284211;62.262772;18.85005929205343;5.87353
jades-gdn2-v2_prism-clear_1181_978.spec.fits;189.1284211;62.262772;18.85005929205343;5.87353
jades-gdn2-v2_prism-clear_1181_978.spec.fits;189.1284211;62.262772;18.85005929205343;5.87353
ceers-v2_prism-clear_1345_1677.spec.fits;215.1887384;53.0643782;91.13370370801753;5.875591
jades-gdn-v2_prism-clear_1181_38147.spec.fits;189.2706763;62.1484185;36.22300137535229;5.878342
macs1149-v2_prism-clear_1208_5102587.spec.fits;177.3856282256173;22.35625615512452;11.465565917204863;5.8866
macs1149-v2_prism-clear_1208_5112982.spec.fits;177.3863364517201;22.358593313317;23.00792765349481;5.88867
borg-0314m6712-v2_prism-clear_1747_1257.spec.fits;48.375641;-67.20326999999997;15.879875813139241;5.88936
gds-deep-v2_prism-clear_1210_9414.spec.fits;53.17655;-27.77110599999998;31.935458106077242;5.892112
jades-gds-wide2-v2_prism-clear_1180_13347.spec.fits;53.2029877;-27.7761337;28.50792815466504;5.89349
jades-gds-wide2-v2_prism-clear_b322.spec.fits;53.15431618110732;-27.75654354477018;7.633737372427323;5.89418
jades-gds-wide2-v2_prism-clear_1180_9698.spec.fits;53.140774;-27.80218100000002;37.14088921041027;5.91351
macsj0647-v2_prism-clear_1433_1944.spec.fits;101.986107;70.214346;38.287395339144204;5.915585
jades-gds-wide-v2_prism-clear_1180_9860.spec.fits;53.167726;-27.76816200000002;9.983776683093959;5.916969
macsj0647-v2_prism-clear_1433_3887.spec.fits;101.909231;70.247705;28.985834842038212;5.91766
